Date/Time, Wind Speed
3-30-16 12:00 AM,1.8
3-31-16 12:00 AM,0.9
3-31-16 12:00 AM,0
3-31-16 12:00 AM,2.2
3-31-16 12:00 AM,1.8
1-4-16 12:00 AM,4
1-4-16 12:00 AM,0.4
1-4-16 12:00 AM,4
1-4-16 12:00 AM,4.5
2-4-16 12:00 AM,0.9
2-4-16 12:00 AM,2.2
2-4-16 12:00 AM,1.8
3-4-16 12:00 AM,0.9
3-4-16 12:00 AM,0
3-4-16 12:00 AM,4
3-4-16 12:00 AM,0
4-4-16 12:00 AM,1.3
4-4-16 12:00 AM,0.4
4-4-16 12:00 AM,3.6
5-4-16 12:00 AM,1.8
5-4-16 12:00 AM,1.3
5-4-16 12:00 AM,3.1
5-4-16 12:00 AM,4.9
6-4-16 12:00 AM,0
6-4-16 12:00 AM,0
6-4-16 12:00 AM,4.9
6-4-16 12:00 AM,3.6
7-4-16 12:00 AM,3.6
7-4-16 12:00 AM,1.3
7-4-16 12:00 AM,3.6
7-4-16 12:00 AM,5.4
8-4-16 12:00 AM,3.1
8-4-16 12:00 AM,1.3
8-4-16 12:00 AM,5.4
8-4-16 12:00 AM,5.8
9-4-16 12:00 AM,0.4
9-4-16 12:00 AM,1.8
9-4-16 12:00 AM,4
10-4-16 12:00 AM,4.9
10-4-16 12:00 AM,1.3
10-4-16 12:00 AM,0
10-4-16 12:00 AM,0.9
11-4-16 12:00 AM,0
11-4-16 12:00 AM,1.8
11-4-16 12:00 AM,2.7
11-4-16 12:00 AM,2.7
12-4-16 12:00 AM,0.9
12-4-16 12:00 AM,0.4
12-4-16 12:00 AM,4.5
12-4-16 12:00 AM,3.1
4-13-16 12:00 AM,0
4-13-16 12:00 AM,1.3
4-13-16 12:00 AM,0
4-13-16 12:00 AM,0
4-14-16 12:00 AM,0
4-14-16 12:00 AM,0.4
4-14-16 12:00 AM,0
4-15-16 12:00 AM,2.2
4-15-16 12:00 AM,1.8
4-15-16 12:00 AM,4
4-15-16 12:00 AM,3.1
4-16-16 12:00 AM,0.9
4-16-16 12:00 AM,1.8
4-16-16 12:00 AM,0.4
4-17-16 12:00 AM,1.3
4-17-16 12:00 AM,0.9
4-17-16 12:00 AM,2.7
4-17-16 12:00 AM,1.3
4-18-16 12:00 AM,0.4
4-18-16 12:00 AM,0
4-18-16 12:00 AM,4.5
4-18-16 12:00 AM,0.9
4-19-16 12:00 AM,2.2
4-19-16 12:00 AM,3.1
4-19-16 12:00 AM,4.9
4-19-16 12:00 AM,4.5
4-20-16 12:00 AM,4.9
4-20-16 12:00 AM,0.4
4-20-16 12:00 AM,1.3
4-20-16 12:00 AM,1.8
4-21-16 12:00 AM,1.3
4-21-16 12:00 AM,0.9
4-21-16 12:00 AM,5.8
4-22-16 12:00 AM,2.7
4-22-16 12:00 AM,1.3
4-22-16 12:00 AM,4
4-22-16 12:00 AM,4
4-23-16 12:00 AM,0
4-23-16 12:00 AM,0.4
4-24-16 12:00 AM,4.5
4-24-16 12:00 AM,2.2
4-24-16 12:00 AM,3.6
4-24-16 12:00 AM,4.9
4-25-16 12:00 AM,0
4-25-16 12:00 AM,0
4-25-16 12:00 AM,3.6
4-25-16 12:00 AM,4
4-26-16 12:00 AM,4
4-26-16 12:00 AM,0.4
4-26-16 12:00 AM,0
4-26-16 12:00 AM,1.8
4-27-16 12:00 AM,1.3
4-27-16 12:00 AM,1.8
4-27-16 12:00 AM,4.5
4-27-16 12:00 AM,2.7
4-28-16 12:00 AM,1.8
4-28-16 12:00 AM,2.7
4-28-16 12:00 AM,0
