date,value
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,119
01-12-14,221
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,119
01-12-14,221
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,119
01-12-14,221
01-12-14,64
01-12-14,998
01-12-14,51
01-12-14,48
01-12-14,36
01-12-14,99
01-12-14,30
01-12-14,71
01-12-14,76
01-12-14,998
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,239
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,239
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,239
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,1198
01-11-14,584
01-11-14,285
01-11-14,48
01-11-14,206
01-11-14,598
01-11-14,258
01-11-14,156
01-11-14,1003
01-11-14,3620
01-11-14,239
01-11-14,993
01-11-14,249
01-11-14,84
01-11-14,33
01-11-14,43
01-11-14,127
01-11-14,71
01-11-14,61
01-11-14,305
01-11-14,993
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,398
01-10-14,51
01-10-14,76
01-10-14,3112
01-10-14,147
01-10-14,137
01-10-14,132
01-10-14,216
01-10-14,399
01-10-14,4130
01-10-14,124
01-10-14,23
01-10-14,30
01-10-14,991
01-10-14,84
01-10-14,107
01-10-14,89
01-10-14,122
01-10-14,394
01-10-14,993
01-09-14,646
01-09-14,4411
01-09-14,646
01-09-14,4411
01-09-14,646
01-09-14,4411
